Date,Outages,Outage_Color,Incidents,Service
24 Oct 2023,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 150}]",#e6682e,"[{""Incident_Title"": ""Group Chat Down"", ""Incident_Link"": ""https://status.character.ai/incidents/0cksdfnhfy6p""}]",character.ai
25 Oct 2023,[],#2fcc66,[],character.ai
26 Oct 2023,"[{""Outage_Type"": ""Major outage"", ""Downtime (min)"": 30}]",#e98e1e,"[{""Incident_Title"": ""Elevated DB errors"", ""Incident_Link"": ""https://status.character.ai/incidents/bt77d8174xlq""}]",character.ai
27 Oct 2023,[],#2fcc66,[],character.ai
28 Oct 2023,[],#2fcc66,[],character.ai
29 Oct 2023,[],#2fcc66,[],character.ai
30 Oct 2023,"[{""Outage_Type"": ""Major outage"", ""Downtime (min)"": 34}]",#e67c23,"[{""Incident_Title"": ""Site down"", ""Incident_Link"": ""https://status.character.ai/incidents/tw8n83w5jz43""}]",character.ai
31 Oct 2023,[],#2fcc66,[],character.ai
1 Nov 2023,[],#2fcc66,"[{""Incident_Title"": ""Partial outage"", ""Incident_Link"": ""https://status.character.ai/incidents/4vj1gghj29t4""}]",character.ai
2 Nov 2023,[],#2fcc66,[],character.ai
3 Nov 2023,"[{""Outage_Type"": ""Major outage"", ""Downtime (min)"": 197}]",#e74c3c,"[{""Incident_Title"": ""Site down"", ""Incident_Link"": ""https://status.character.ai/incidents/fl04cnw1hskw""}, {""Incident_Title"": ""Site down"", ""Incident_Link"": ""https://status.character.ai/incidents/991k21s06ml4""}]",character.ai
4 Nov 2023,[],#2fcc66,[],character.ai
5 Nov 2023,[],#2fcc66,[],character.ai
6 Nov 2023,"[{""Outage_Type"": ""Major outage"", ""Downtime (min)"": 13}]",#d4c51c,"[{""Incident_Title"": ""Site down"", ""Incident_Link"": ""https://status.character.ai/incidents/5hgyc7qkhrk7""}]",character.ai
7 Nov 2023,[],#2fcc66,[],character.ai
8 Nov 2023,[],#2fcc66,[],character.ai
9 Nov 2023,[],#2fcc66,[],character.ai
10 Nov 2023,[],#2fcc66,[],character.ai
11 Nov 2023,[],#2fcc66,[],character.ai
12 Nov 2023,[],#2fcc66,[],character.ai
13 Nov 2023,[],#2fcc66,[],character.ai
14 Nov 2023,[],#2fcc66,[],character.ai
15 Nov 2023,[],#2fcc66,[],character.ai
16 Nov 2023,[],#2fcc66,[],character.ai
17 Nov 2023,"[{""Outage_Type"": ""Major outage"", ""Downtime (min)"": 1}]",#95c838,"[{""Incident_Title"": ""Site down"", ""Incident_Link"": ""https://status.character.ai/incidents/clpqgprws6jg""}, {""Incident_Title"": ""Site down"", ""Incident_Link"": ""https://status.character.ai/incidents/t666zx5wmjvw""}]",character.ai
18 Nov 2023,[],#2fcc66,[],character.ai
19 Nov 2023,[],#2fcc66,[],character.ai
20 Nov 2023,"[{""Outage_Type"": ""Major outage"", ""Downtime (min)"": 14}]",#d6c51b,"[{""Incident_Title"": ""Server Instability"", ""Incident_Link"": ""https://status.character.ai/incidents/q0xvy3xtgsrf""}]",character.ai
21 Nov 2023,[],#2fcc66,[],character.ai
22 Nov 2023,[],#2fcc66,"[{""Incident_Title"": ""Degraded performance"", ""Incident_Link"": ""https://status.character.ai/incidents/hyj9hwhl85vd""}]",character.ai
23 Nov 2023,[],#2fcc66,[],character.ai
24 Nov 2023,[],#2fcc66,[],character.ai
25 Nov 2023,[],#2fcc66,[],character.ai
26 Nov 2023,[],#2fcc66,[],character.ai
27 Nov 2023,[],#2fcc66,[],character.ai
28 Nov 2023,[],#2fcc66,[],character.ai
29 Nov 2023,[],#2fcc66,[],character.ai
30 Nov 2023,[],#2fcc66,[],character.ai
